datetime,open,high,low,close,volume
2011-12-31,4.39,4.58,4.39,4.58,7346.2632104799995
2012-01-01,4.58,5.0,4.58,5.0,8440.844000000028
2012-01-02,5.0,5.0,5.0,5.0,16655.727999999996
2012-01-03,5.0,5.32,5.0,5.29,19448.819802310103
2012-01-04,5.29,5.57,4.93,5.57,24798.29626511006
2012-01-05,5.37,6.65,5.37,6.65,9102.080978669928
2012-01-06,6.65,6.9,6.0,6.0,5331.130796970008
2012-01-07,6.0,6.8,6.0,6.8,1196.3668645400046
2012-01-08,6.8,7.0,6.8,7.0,2487.4378714000004
2012-01-09,7.0,7.0,6.23,6.3,4029.2965941400003
2012-01-10,6.3,7.14,6.24,7.14,1616.6788075499965
2012-01-11,7.14,7.33,6.25,7.0,5354.634967589992
2012-01-12,7.0,7.38,6.51,6.51,9114.146006859975
2012-01-13,6.51,7.36,6.51,6.6,1431.1517445300026
2012-01-14,6.6,6.6,6.3,6.3,2140.2414784500033
2012-01-15,6.3,7.15,6.3,7.15,971.0256545499982
2012-01-16,7.15,7.15,6.2,7.1,1202.1571739499918
2012-01-17,7.1,7.1,6.0,6.0,5018.7637909800105
2012-01-18,6.0,7.1,5.99,7.1,8054.516569210014
2012-01-19,7.1,7.1,5.52,6.22,19395.67809348002
2012-01-20,6.22,6.95,6.22,6.95,17709.34149028988
2012-01-21,6.95,6.95,6.28,6.77,4229.827245320006
2012-01-22,6.77,6.83,6.03,6.79,12099.037734629968
2012-01-23,6.79,6.79,6.0,6.52,9879.240900479996
2012-01-24,6.52,6.57,6.0,6.55,7262.101041309963
2012-01-25,6.55,6.86,6.0,6.31,5510.841059229998
2012-01-26,6.31,6.31,5.5,5.5,480.2978332999995
2012-01-27,5.5,6.03,3.8,5.88,4918.081517490001
2012-01-28,5.88,5.88,4.91,4.91,2495.0
2012-01-29,4.91,5.9,4.91,5.5,1432.5000975800017
2012-01-30,5.5,5.58,5.3,5.58,5244.584085519986
2012-01-31,5.58,6.22,3.8,5.3,4177.518504230005
2012-02-01,5.3,5.99,5.3,5.88,3419.8896741300027
2012-02-02,5.88,6.28,5.88,6.28,7791.757569929999
2012-02-03,6.28,6.35,5.93,6.3,6254.011518420014
2012-02-04,6.3,6.5,5.94,5.94,4139.443883800013
2012-02-05,5.94,6.15,5.6,5.6,3187.252765230002
2012-02-06,5.6,5.9,5.2,5.6,4049.0143263600066
